tag	consumer_complaint_narrative
complaint	No existe room service los fines de semana.
complaint	El barrio de noche es algo inhóspito, aunque ya saliendo a 9 de Julio uno se siente seguro.
complaint	Acepta pocos formatos de compresión:
comment	El desayuno buffet impresionante.
comment	La ubicación es excelente para conocer esa parte de Buenos Aires.
comment	Ubicación y equipamiento de apartamento
complaint	Al comunicarlo al personal, solo contestaron qu pasaramos al otro día...
comment	Buena ubicación
comment	El hotel está muy bien situado, muy céntrico.
comment	Atención del personal
comment	El personal muy bien y excelente la limpieza:
comment	Muy cómodas las habitaciones.
comment	El desayuno buffet excelente.
comment	Excelente ubicación en pleno Palermo Soho.
comment	Muy buena opción.
complaint	Es un exceso lo que cobran por el desayuno.
complaint	Buen hotel aunque para todas las estrellas que tiene esperaba más.
comment	Habitación muy comoda, luminosa.
complaint	La habitación no tenía casi luz natural
comment	El servicio muy bueno, la comida rica y los precios accesibles.
comment	Lo recomiendo!
request	PROBLEM GIGANTE! Podrían solucionar el problema de que cuando escucho música y voy a Google a buscar equis información acabo de un rato spotify de detiene y la música igual...
comment	El desayuno era muy rico , estaba cerca de todo , claro que igual había que andar en taxi
comment	Super amables y serviciales en la medida justa.
comment	todo me gustó
complaint	- Esta en Ingles
complaint	Fuimos en semana santa y el desayuno fue bastante caótico: faltaban mesas, tazas, etc.
comment	Excelente todo la gente,la pileta nosotros saliamos 4,30 hs y nos prepararon el desayuno para nosotros 4 la verdad lo mejor que fui y el mozo hector un espectaculo su atencion en todo
comment	Planeo regresar pronto!
complaint	Desayuno puede mejorar.
comment	Es un hotel de gente de negocios.
comment	Todo es un hotel exelente , su personal y servicios encantadores, desayuno muy bueno , el Spa increible , se puede cenar en el Hotel hay targetas de descuento para huespedes y el menú es muy bueno
complaint	Durante toda la noche sonaba un motor, cómo si hubiera un compresor al lado .
comment	De resto, todo muy bueno.
complaint	Hasta las 7:00 am no se normalizó la situación.
comment	El desayuno buffet, estuvo bien bueno.
comment	super bien y comoda.
comment	El desayuno muy rico y de 17 a 20h invitan a los huespedes a un vino y alguna tapa.
complaint	Nadie ayuda a la llegada con las maletas.
complaint	A pesar de haber pagado USD 150 en el cuarto te cobran $105 de internet hiper lento ( un servicio basico hoy en dia).
comment	Todo correcto.
request	algunas cosas que necesitan reparación como el closet por ejemplo y unos accesorios que no funcionaban.
comment	Edificio antiguo restaurado con mucho gusto.
complaint	Ruidos de un supuesto generador que imposibilitó dormir la ultima noche.
complaint	Y tampoco teniamos invluido el.desayuno con ese.precio.
comment	La decoración y aseo son también, puntos a destacar, muy positivos Muchas gracias!
comment	Además cada habitación tiene una salita para descansar.
comment	El desayuno fue excelente, de 5 estrellas plus !!
comment	Cama muy confortable
comment	Muy bueno.
comment	Buen hotel en una zona andado estas en el Paseo de Gracia, centro de Barcelona,y metro cerca para visar Barcelona.
comment	Volveré con mi familia.
comment	Tido Gracias
comment	Todo excelente, recomiendo la copa de helado que venden en deliciosa
comment	El personal muy amable y cordial.
comment	El desayuno es completo y lo traen al cuarto.
complaint	El desayuno medio pobre.
comment	Limpio.
comment	Bien comunicado.
comment	Todo genial, nada que decir, el valor vale la pena!
complaint	El sistema de tv no es bueno , estaban probando uno nuevo.
comment	Habitación y cama extra grande, buena televisión, todo muy limpio.
comment	Excelente atencion y servicio por parte de todo el personal con el que uno se relaciona.
comment	el aseo mas que bueno.
comment	El personal encantador.
comment	Muy bien situado.
comment	Amplitud de apartamento.
comment	La ubicacion del hotel es excelente
comment	Muy lindo barrio, ubicación genial
comment	El lugar es muy lindo arquitectónicamente.
comment	buena ubicacion.
complaint	- Dificil de manejar
comment	Creo que la relación calidad precio es de diez.
comment	Recomendable
comment	El apartamento muy grande, cómodo y bien situado
comment	Amabilidad del personal.
complaint	El recepcionista fue un poco serio.
comment	La cama muy cómoda, la habitación muy limpia y el personal muy amable.
comment	Excelente ubicación y atención.
comment	Nada , todo muy bien
complaint	El recepcionista del spa fue muy poco considerable al romper los anteojos de mi pareja, ni disculpas pidió
comment	Los empleados del hotel muy amables.
comment	Las habitaciones son espaciosas, el desayuno es bueno y la conexión a internet es rápida.
comment	Comodo balcon con dos sillones, sobre calle Guemes.
bug	Ademas tuve problemas para visionar paginas en flash, myspace por ejemplo tiembla el reproductor
comment	Funciona a la perfección.
complaint	El hotel es lindo, pero no vale el olor a encierro.
comment	Muy bueno todo!
comment	Amabilidad del personal
complaint	No cambiaron las sabanas diario ,y faltaro accesorios como cepillo de dientes ,rastrillo etc muy austero
comment	Buenas sabanas y cama confortable
comment	Solo para la gente con cuenta Premium o Unlimited
comment	Lo que hace que sea uno de sus lugares preferidos.
comment	Servicio exceptional.
comment	Limpio y tranquilo.
comment	Muy bien todo
comment	Gracias.
comment	Camas comodas, habitacion super limpia y comoda, desayuno muy bueno, servicio excelente, zona humeda excelente
comment	La habitación estaba impecable.
comment	Habitaciones de calidad, limpias y ordenadas.
request	Porfa que alguien me diga
comment	Las instalaciones del hotel muy bonitas, la zona de la piscina espectacular, el desayuno delicioso muchas opciones para escoger.
complaint	políticas de privacidad abusivas
request	Como sugerencia, variaría algo más las opciones en el desayuno.
complaint	- lleva mucho tiempo sin nuevas versiones de programa
comment	Lo dicho, para repetir.
complaint	Desde el baño venía mal olor de las cañerías.
comment	comodidad de las habitaciones, servicio del personal, el desayuno excelente.
comment	Además, pudimos dejar las maletas durante la semana ya que regresábamos tras recorrer el país a Lima al mismo hotel y las guardaron sin coste extra y con garantía de seguridad.
comment	Todo excelente
comment	Muy buen buffet de frutas y masitas dulces al desayuno.
comment	La cama muy confortable y baño moderno i limpio
comment	Todo comenzaba muy bien, desde que uno se levanta con un buen desayuno y atención,Exquisitos omelettes, jugos, pasteles.
comment	El desayuno es exquisito, la ubicación perfecta tanto para casco histórico como centro-compras-teatros.
comment	Cama amplia y TV plana grande
comment	Muy confortable y bien ubicado, a 15 metros de la parada del metro y cerca de la calle Garo-Sugil.
comment	La próxima vez que esté en Buenos aires, será mi primera opción.
complaint	La tv no era smart.
comment	aunque la cama doble muy angosta
comment	Muy razonable el costo.
comment	Le pusieron letras a las canciones? Tengo deseos de gritar jajaja estoy mas felix que en un cumpleaños al fin lo que tanto esperaba! Tomen sus 5 estrellas si les pudiera dar mas se las daba
comment	La cama muy confortable y el servicio en todas las areas del Hotel muy agradable
comment	El desayuno es corto para escoger, pero te ofrecen todo lo que desayunarías en casa por menos de siete euros.
comment	Volveré.
comment	Todo estuvo bueno
comment	Lo recomendamos.
comment	mucha música y calidad
comment	Las habitaciones son excelentes igual que el espacio dedicado a desayuno y restaurant
complaint	-La privacidad es nula
complaint	El ascensor estuvo sin funcionar unas horas, justo coincidió con nuestro check-in.
complaint	2- La Limpieza de las habitaciones, Muy Mala..
comment	Habitación amplia
comment	El personal muy amable.
comment	Pero en general es muy bueno y prefiero mytaxi que tomar uno en la calle.
complaint	El hecho de que las camas (individuales) tengan ruedas sin freno en las patas de la cabecera hacen que -cada vez que das vuelta en la cama- se mueva, lo que resulta poco agradable.
comment	Muy buena aplicación además de eso!!!✨
complaint	Demasiada puntualidad al retirar los alimentos en el aperitivo incluido en mi opción en la tercera planta, a las 19,45 ya habían empezado a desaparecer y retirar los mismos y daba mala imagen
complaint	no tan potente
comment	Hotel moderno y limpio.
complaint	El desayuno podría mejorar por el precio cobrado
complaint	Menor burocracia para el uso del cuarto de reuniones/trabajo.
comment	El bar del hotel es excelente! Las hamburguesas súper recomendables!
comment	Es un hotel muy bien ubicado.
comment	La cama, la piscina, el desayuno, la amabilidad del personal y la limpieza
comment	Pensamos volver .
comment	De lejos es el mejor hotel de Bogota.
comment	Excelente
comment	Todo excelente.
comment	todo excelente,ubicacion,servicio,equipamientocomodidades cafe dulces cereales bombones de cortesia,
comment	Todo fue perfecto
comment	Lo recomiendo.
comment	Me ha encantado
comment	Excelente ubicación.
comment	Cálido y muy buena atención.
complaint	Algunas personas del front desk no estabañ muy dispuestas a ayudar (básicamente lo de turno de amanecida)
comment	Excelente atencion !!
comment	Gymnasio en buenas condiciones.
comment	El desayuno es tipo buffet, hay frutas, yogur, panes, jugo de naranja, cafe, chocolate, huevos revueltos, mermelada, mantequilla, queso.
comment	La cama es muy cómoda y la tina, grande.
request	deberian agregar un servicio de desayuno y un convenio con alguna cochera cercana
comment	Buen desayuno.
comment	Staff eficiente.
comment	Impresionante la ducha con vistas a la plaza de Callao.
comment	La ubicación es excelente.
comment	Yo nunca he tenido ningún problema.
comment	Todos igual de atentos.
comment	desayuno, instalaciones
complaint	Cuando lo empiezas a jugas pensarás que es una burda copia que nada que ver
comment	Excelente la atención, el lugar , la habitación, la ubicación ...realmente un excelente lugar
comment	La habitación espaciosa y cómoda.
comment	La atención muy buena.
comment	El parking gratuito.
comment	El personal es muy profesional y muy atento.
comment	Buena relación precio y calidad/servicio.
comment	Todo, la zona, el hotel, el trato personal, todo 10 puntos
comment	El desayuno..espectacular. Y la pileta.
complaint	Con cita de cenar , perdida ocasion de descansar y duchar.
comment	la gente super amable, me senti mal por la altura de Bogota hasta llamaron medico para atenderme, fueron super atentos
complaint	La sauna no funcionaba
comment	Me encantó la atención del front desk, el personal es super amable.
comment	habitaciones amplias , limpias y muy cómodas personal muy amable.
comment	buena ubicación y la ducha
comment	bello cuarto, acogedor grande. Muy buena atencion
comment	recomendable y excelente atencion
complaint	Y la habitación mal dispuesta la cama estaba al frente y muy cerca de la puerta de entrada , el aire acondicionado daba directo en la cara, el control remoto estaba amarrado con un cordel, el baño chico , muy pequeño el hotel
comment	Personal muy amable y atento.
comment	Nada que agregar
complaint	Por ejemplo un calcetín eran 7 dólares....., una exageracion que no nos sentó nada bien.
comment	Excelente ubicación
comment	El personal muy atento.
comment	El spa Todos los empleados tienen una actitud excelente de servicio
comment	Muy recomendable.
comment	Para repetir.
complaint	El hotel está ubicado lejos (1.5km) de la plaza de armas, que es donde están prácticamente todos los restaurantes y bares buenos.
comment	La ubicación es excelente y las habitaciones muy cómodas.
comment	Buen baño. Instalaciones de spa y piscina.
comment	Camas comodas, el personal muy amable.
comment	muy estable, y facil de usar, no tiene secretos.
request	solo sale una palomita cuando mando un mensaje es vez de 2 el mensaje tarda en llegar a su destino arreglen eso por favor
comment	Genial
comment	Ha quedado anticuado.
comment	El desayuno exquisito y todo el personal muy amables.
complaint	Él área del spa y gimnasio debe ser mejorada pues cuando llueve se inunda
comment	Sin lugar a dudas puedo asegurar que Morrison 84 es la mejor oferta en Bogota costo/beneficio.
comment	rapido
comment	Muy nuevo.
complaint	El desayuno es mejorable
comment	Esta distro me ha venido muy bien en varias ocasiones en las que un equipo dejaba de funcionar, permitiéndome recuperar información, e incluso reparticionar los discos duros.
comment	EN TODOS SUS ASPECTOS ES UN EXCELENTE HOTEL
complaint	La iluminación es también demasiado fría.
comment	Cuidaron hasta el ultimo detalle.
comment	La distribucion y servicios en la habitación.
comment	Además tenía una pequeña nevera.
comment	Completamente renovado.
comment	El hotel tambien ofrece una especie de social hour o hora del té, no se como llamarlo, la cuestion es que esta incluido en la tarifa y es muy bueno, entre las 17 y las 20 puedes acercarte al bar y comer y beber algo.
comment	Hay un compromiso, firmado, de que a partir de las 10:00 no se puede armar "jaleo" en cualquier habitación del bloque y puedes extender una queja si se produjese.
comment	Las sabanas muy suaves, el mini bar, el baño moderno.
comment	Bueno
comment	El personal muy amable.
comment	100% recomendable.
comment	Las almohadas están deliciosas.
complaint	Bajamos a cenar un día, pedimos una hamburguesa que no cumplió con las expectativas que teníamos.
comment	Me gustó mucho el servicio del chico de la tarde en cafetería muy amable y sociable.
comment	Personal muy amable
comment	Su personal muy amable y servicial siempre pendiente de que todo marche bien y muy al pendiente resolver y atender con prontitud a sus huespedes.
comment	Habitaciones funcionales pero muy comodas, cama y baño de primera.
comment	Bien comunicado pero en una calle tranquila que permite dormir en silencio.
comment	La ubicación y la amabilidad de la gente
request	Regresen la pestaña de contactos y editar la sección \"info\" desde la pantalla principal.
comment	Dos botellas de agua por día en la habitación sin cargo.
request	Se extraña La función donde se podían ver las lyrics, espero que vuelvan a asociarse con algún servicio parecido.
comment	Buenas opciones de restaurantes y menus para escoger.
comment	Las instalaciones y la limpieza del hotel son muy buenas.
comment	Los empleados del hotel son muy atentos , amables y organizados.
complaint	pequeño el desayunador, sin bar abierto ni zonas comunes, pero la cochera es aparte pero mas alla de eso el servicio de la misma es malísimo
comment	Lo recomiendo 100%
comment	La habitación amplia y confortable.
comment	Excelente ubicacion, cerca de todo.
complaint	Las canillas gotean
comment	El hotel en general me encanto, su terraza maravillosa.
complaint	El sillón del comedor no es tan confortable como la cama que sí brinda un óptimo descanso.
comment	Desayuno tipo buffet bastante completo.
complaint	No coinciden con lo indicado por Booking, ni incluyendo los impuestos.
comment	La ubicación del hotel y el espacio para desayuno y restaurante.
comment	Felicitaciones.
comment	La atencion del personal en el bar y en recepcion.
comment	Felicitaciones.
complaint	El spa, la parte de los saunas, está apagada y sólo la prenden cuando alguien lo va a utilizar, eso hace que haya que esperar mucho para que esté a buena temperatura todo.
comment	No tengo nada contra esta aplicación.
comment	Todo... La habitación, el baño, las instalaciones...
comment	Excelentemente ubicado con grandes vistas y cerca de muchos puntos turísticos.
complaint	No se nos avisó.
comment	El desayuno buenísimo.
comment	El hotel esta muy bien ubicado y las habitaciones están muy bien.
complaint	La habitación tenía olor a humedad, lo que nos obligaba tener el aire acondicionado encendido en todo momento para intentar ventilar.
request	Nos gustaría que hubiesen mas opciones de cenas ligeras!!
comment	El diseño y la preocupación en cada detalle es notable.
comment	Mucho Confort.
comment	demas es buena aplicacion y cuando me dio algun problema les escribi y contestaron bastante rapido y me dieron la solucion..
comment	El desayuno es lo típico en esta clase de hoteles.
comment	El desayuno increíble.
complaint	Cama enana, mido 1,78 y se me salían los pies.
comment	El personal muy atento, agradable y profesional.
complaint	El servicio abria la puerta constantemente, incluso casi me vieron saliendo de la ducha.
comment	Muy buena y útil
complaint	Ademas las habitaciones no estan acustizadas, se escuchan los ruidos del pasillo.
comment	La decoracion, buen gusto excelente ambiente
comment	Buena ubicacion.
comment	Tiene servicio de taxi.
comment	Genial hotel en BCN, excelente ubicación , a 20 mts del Paseo de Gracia.
comment	Excelente ubicación.
comment	Muy útil, cómoda y sencilla para pedir taxi y pagar vía móvil.
comment	El personal es muy amable y super eficiente.
comment	-Sencillez y rapidez de navegación
comment	Acogedor y muy limpio.
comment	Impecable.
comment	El hotel esta en un punto fantástico cerca de todo lo interesante de Madrid pero en una calle tranquila.
comment	La cama muy comoda
complaint	En la habitación se escucha absolutamente todo lo de los vecinos y la calle.
comment	Buen trato, muy buenas instalaciones, habitación amplia, cómoda y limpia y unas grandes vistas desde la planta 28.
comment	El desayuno buenísimo, pocas veces en mi vida he visto un desayuno tan completo y bien servido en un hotel ejecutivo.
comment	Una grandisima variedad de musica
comment	Lo mejor la ubicación,
comment	La cama era espectacular
comment	Multi-funcionalidad por sus diversas herramientas
comment	La ubicación en el Barrio de las Letras, cerca de museos, es fantástica.
comment	Sin duda repetiré!
comment	Volveremos seguro.
comment	excelente desayuno
comment	Ahora sinceramente buscando fallos no encuentro ninguno, aunque si me gustaría que fuese totalmente sin anuncios pero comprendo la ganancia del dinero, por lo demás la app es la mejor que existe para música que conozco y muy probablemente que vaya a conocer.
comment	Muy cerca de una zona de bares y restaurantes de muy buen nivel
comment	Jugabilidad online
comment	Me encanta esta app por que puedo subir vídeos cuando quiera es genial me encanta
comment	con ventanales inmensos, cama gigante con excelente ropa de cama, espacio para comer, mesa y sillas, microondas, pava eléctrica, etc.
comment	Me encanta snapchat es lo mejor no me inporta lo que digan los de más se la recomiendo
comment	Volveremos
comment	El personal del hotel es muy amable y demuestra buen entrenamiento.
comment	Tienen muy buen surtido.
comment	Su ubicación excelente.
comment	Habitaciones amplias y con baño de estética retro.
comment	La excelente atención del personal!!! De lo mejor!!!!
comment	Instalaciones impolutas.
comment	Volveremos.
complaint	El precio es muy caro en comparación con otros hoteles de Buenos Aires, el desayuno no me gustó y no tiene el toque de sutileza
request	Muchos addons no estan disponibles para esta version
comment	El personal muy amable, siempre a disposición y con grandes gestos
comment	la facilidad de busqueda
comment	Todo bien.
comment	Trato buenisimo
comment	Excelente desayuno con tres opciones a elecciòn.
bug	Mis playlist no se sincronizan en los dispositivos donde tengo mi cuenta abierta (pc y Android) y no me reconoce los archivos locales que tengo en mi pc, cuando le da la gana los puedo escuchar.
request	No se No me Aparecieron Los Filtros &amp; Le Intento &amp; No Me Da Por Favor Me Ayuda
complaint	El colchón es muy duro.
complaint	La música en el hall era muy alta todo el tiempo
comment	El personal es muy amable y atento.
comment	Buen desayuno.
complaint	Debería ser de 40 por lo menosp
complaint	En general no fue una experiencia agradable como esperaba que lo fuera.
request	Pues me encanto. PERO la camara es borrosa. Arreglen eso plis.
comment	La ubicación es inmejorable, a metros se encuentran bares, restaurantes, farmacias, tiendas, supermercados ( que venden comida hecha), parada de taxis, la estación Sol por la que pasan tres líneas del Metro), está pocos minutos en taxi de la estación Atocha ( aprox.
comment	Un 10
complaint	Por la lavandería nos cobraron una barbaridad.
comment	El desayuno y la atencion del personal.
complaint	El WiFi debe mejorar
comment	El hotel es muy bonito, acogedor y situado en un lugar estrategico.
comment	De seguro que voy a volver.
complaint	La NO reposición diaria en el frigobar
request	Pero regular espero mejore al momento de descargar,también puedas adaptarse a la memoria expandible
comment	es excelente en todo.
complaint	La pileta climatizada - el agua fría.
request	Por favor arregle.
comment	La cama comoda , el baño confortable
comment	El personal muy amable, la vista de la habitación era espectacular y la ubicación excelente, frente a un casino muy divertido, al lado de una farmacia y un supermercado.
complaint	Cdo llegue al hotel me dijeron que estaba lleno.
comment	El personal es muy atento.
comment	La ubicación es excelente.
comment	el parking y la situación perfectas.
request	ESPERO Y PUEDAN ARREGLAR ESTOS PROBLEMAS.
comment	Muy buen confort en la habitación y servicio en el hotel.
comment	Muy bien ubicado, puedes caminar a muchos lugares.
comment	PERSONAL SUPER AMABLE SIEMPRE DISPUESTO AYUDARTE, INSTALACIONES CONFORTABLES,TRANQUILO
comment	Todo me gusto !
comment	Los he probado tondos y sin lugar a dudas es el mejor.
bug	A veces o te carga despues de un tiempo largo o directamente no te carga..
comment	Personal muy amable.
complaint	El personal no es tan atento a si fuera una americana
complaint	No tiene un espacio para parar con el coche en la puerta y dejar las maletas
complaint	Las almohadas muy duras y el baño antiquísimo.
comment	Buena comodidad, tamaño de habitacion y limpieza.
complaint	Todo el baño es de vidrio, la puerta no cierra bien...
comment	La ubicación es perfecta para una viaje de turismo ya que se encuentra a pasos del metro y a media cuadra de una calle llena de restaurantes y bares.
comment	Super cómodo!!!
comment	Muy buen desayuno.
comment	Excelente
comment	Es confortable, estuvimos bien.
comment	La habitación está muy bien.
comment	Las camas de colchones muy cómodos y amplios con buenas sábanas.
complaint	Una infamia hecha por un empleado por querer cobrar más
comment	Para repetir.
complaint	para lo bien que está el hotel, el desayuno es muy malo.
complaint	Cuando revisamos el minibar, el de mi familia estaba completo y el mío no.
comment	Buena situación en el centro.
comment	Una muy buena aplicación, me encanta &amp;lt;3
complaint	Las camas son muy blandas y el cereal tenía insectos
comment	Volveremos.
comment	La mejor calculadora que he probado, me ayudo mucho con mis tareas de ecuaciones
complaint	Al cambiar de Andino a NH este hotel no ha mejorado, sino lo contrario.
request	como q se escuchan voses ...aparte de que hablan con tu amigo se vuelve a rrepertir la voz...agan algo porfavor q no se alente...
comment	La cama super cómoda.
comment	Muy entretenido
request	si tuviera 2 baños completos seria ideal
comment	Camas cómodas, habitaciones grandes y confortables.
comment	Todo lo que ofrece el hotel es perfecto.
comment	Desayuno más que correcto.
comment	La ubicación es muy buena, sin ser el centro de la ciuad es la mejor zona de Bogotá, tiene alrededor restaurantes, bares, tiendas...y se puede salir alrededor con total tranquilidad
comment	:)
comment	Repetiremos.
comment	El personal no podía ser más amable y atentos.
comment	Es un hotel con muchos pequeños detalles que le dan un valor añadido
comment	El hotel esta muy bien.
request	Sería genial que tuvieran un estacionamiento cerca pero eso no depende del hotel.
complaint	La unica conexión eléctrica es en una esquina de unos de los grandes salones del lobby, muy desperdiciado ese espacio.
comment	El personal es muy amable y servicial, las habitaciones son modernas y cómodas.
comment	La habitacion es muy comoda, la ducha excelente.
complaint	El hotel es muy obscuro, la música en recepción MUY elevada, La aplicación de ipad del hotel funciona cuando quiere, la cocina es deficiente, NO reponen las amenidades que brinda el hotel.
complaint	Bastante fríos y antipáticos.
complaint	La ubicación no es céntrica.
comment	todo muy confortable
comment	Enormes las habitaciones.
comment	buen aspecto
complaint	Eché en falta un desayuno más variado.
comment	la decoracion bellisima...el personal muy atento ..la limpieza ecxelente..todo lo que puedaa decir al respecto es positivo !!
complaint	y en el desayuno no había ni una opción de un carbohidrato sin gluten 😢 Además entre las bebidas calientes pedimos aromática o infusión y nos dijeron que no había 😱 Nos tocó a nosotros pedir agua caliente y una hojita de menta para resolver ...
complaint	El proyecyo creo que ya esta mas bien muerto.
comment	Por lo demás me encanta
comment	Gracias a todos por sus detalles y por estar siempre pendientes de mi...
comment	Habitación amplia y muy confortable.
comment	EL servicio es muy bueno, el restaurant del hotel es pequeño y excelente, perfecto para una cena.
complaint	lo tenia que buscar todo en internet.
comment	Todo me gustó mucho.
comment	aunque es muy céntrico se descansa muy bien porque no es una calle concurrida.
comment	Cerca a Palza España y a pocas cuadras de las Ramblas.
comment	El desayuno es a la carta, es decir, podes seleccionar qué tipo preferis.
comment	Todo estaba a pocos metros y podias ir andando perfectamente y si no, tenias una parada de metro a 1 minuto.
complaint	El gimnasio es la parte que deberían de mejorar.
request	Me hace divertir mucho, pero seria mejor si las caras se cargarán también cuando no hay Internet.
comment	Cerca a restaurantes y lugares de Diversión, bares y restaurantes de primer nivel así como algunos teatros y centros de cultura
complaint	Queda en una calle peatonal y si vienes en coche, te toca caminar con maletas una parte del trayecto al hotel
comment	Destacar el amable servicio de recepción :) volveremos! El desayuno en la terraza es de lo mejor.
comment	El dormitorio muy cómodo y limpio.
complaint	El wifi hay que pagarlo, es curioso, en un país donde hay wifi gratis hasta en la calle
complaint	Eso me incomodó demasiado.
comment	Además, camas y habitaciones amplias, que nos permitieron descansar de maravilla!
complaint	El precio de la cochera muy caro
comment	Sin ruidos.
comment	Desayuno variado y la ubicación
comment	Excelente hotel, sin lugar a dudas lo recomendaría.
comment	los cuartos amplios y el baño muy comodo asi como la atencion del personal
comment	El servicio hospitalario, limpieza y ubicación.
request	Ya puedo hacer las caritas pero entro y se sale! Corrigan los errores!
comment	Los snacks free.
comment	El resto un 10
comment	la ubicación cercana hacia el lugar de la reunión de trabajo
complaint	demora en la atención.
comment	El desayuno muy completo y las habitaciones amplias.
comment	La zona de cocina, ampliamente equipada
complaint	Desayunador muy pequeño para la cantidad de huespedes, hay que pelear por una mesa, un caos.
comment	Me ha encantado este hotel
comment	excelente servicio y atención.
comment	Nos ha gustado absolutamente todo...
comment	Muy cordial la atención del personal.
comment	Buenisima atencion, nos entregaron la habitacion antes de la hora de check in
comment	La mejor app para escuchar musica In Streaming/offline.
comment	Fuimos por una boda y quedamos encantadisimos.
complaint	El acceso a Recepcion, hay que subir escalones
comment	El servicio es impecable, es la segunda vez que me hospedo aquí y el servicio es lo mejor de todo en todos los aspectos.
comment	Excelente ubicacion, entre Isandong y Myaondong.
comment	EL DESAYUNO ES MUY COMPLETO. TODO RIQUISIMO.
comment	Buenis entrantes: croquetas, calamar, ensalada y un arroz del senyoret delicioso.
comment	Ademas la piscina muy bonita! Está muy bien ubicado con super a media cuadra.
comment	Muy atento, tratando de resolver las situaciones que se presentaban, permanente comunicados, tanto en la recepción como en el desayunador y el personal de limpieza.
comment	Excelentes baños, buenos colchones y ropa de cama.
comment	Además el trato de su personal es magnífico, son todo amabilidad, y su objetivo es hacerte la estancia agradable, cómoda y que te sientas como en casa.
comment	El personal excelente, siempre muy amables y atentos.
comment	La cama y el baño. Buenas almohadas y edredon
comment	Incluso tienen pan sin gluten!!!!
comment	La cama y toda la habitacion excelente.El hotel precioso, el mobiliario y las instalaciones excelentes.
comment	Excelente servicio, comida deliciosa y resalto la excelente actitud de señor de ayudas audiovisuales, iinstalaciones muy bonitas y puntualidad en el evento.
comment	El lugar perfecto.
complaint	La limpieza es muy mejorable.
comment	Buen balcón.
comment	La cama comodosima
comment	Fue una excelente elección! El personal es muy amable y siempre está buscando la manera de poder ayudar.
comment	Catering de alta calidad y la comida, un pica pica que hicimos, estuvo fenomenal.
complaint	La vista a una pared
complaint	fue triste
comment	Y calidad estupendos !!
comment	Desayunos muy completos
complaint	El desayuno un poco caro, 18€, para la variedad que tiene.
complaint	la pileta estaba un poco fría y al pedir servicio a dormitorio x la noche tardaron mucho tiempo.
comment	La ubicación es perfecta.
comment	Cama muy cómoda
complaint	No hay luz.
comment	Felicitaciones.
comment	Habitaciones amplias y bien equipadas.
comment	El restaurant del hotel es muy bueno al igual que el room service.
request	El problema es que solo me deja guardar algunos vídeos en facebook por favor arreglen esto.
request	Variar un poco el desayuno
comment	Muy buen estado.
complaint	La ubicación...
comment	De estilo.
complaint	Cosas que no he visto en ningún otro lugar y he contratado más de 50 alojamientos.
comment	Muy bueno
complaint	El hotel es un poco frio
request	Ayuda por favor
comment	Excelente trato, excelente la limpieza
comment	Muy bueno todo
comment	Trato mas que excelente por parte de recepción.
comment	Habitación confortable y de buen gusto.
bug	A veces los mapas fallan (Nada importante)
comment	Tiene varios restaurantes para todos los gustos, el desayuno es uno de los mejores de Lima y los cuartos son cómodos.
comment	Muy atento y dispuesto todo el personal del hotel.
comment	Atención permanente, los empleados son particularmente amables.
comment	La ubicacion del hotel
comment	Habitacion amplia. Buen desayuno. Te atienden bien
comment	La cama muy buena
comment	El servicio es muy bueno y las personas atienden muy bien
comment	El desayuno estaba perfecto, los meseros, el equipo administrativo y audiovisual nos prestaron un servicio de primera calidad conforme a nuestra solicitud.
comment	Pocos requisitos
comment	Fabuloso.
comment	Habitaciones cómodas y limpias.
comment	El personal muy amable y servicial.
comment	Excelente ubicaciónnSin dudas volvería
comment	La cama muy cómoda y el tamaño del cuarto
comment	El hotel es nuevo, habitaciones amplias, baño normal, no cuenta con elementos de baño personalizados.
comment	Interfaz minimalista
comment	Ademas muy bien situado .
complaint	La ventana del salon estaba rota y no se podia abrir.
comment	Atención de lujo, un ambiente sumamente agradable, excelente desayuno, camas super confortables, etc.
comment	Amplia la habitacion muy linda.
bug	Yo lo descarge por ubuntu y no me quiso instalar, y cuando lo instale, no me quiso conectar no tenia servidores
request	Necesita un espejo de aumento para la mujet arreglarse
comment	El hotel es impecable tanto en el personal, super amable y atento.
comment	Habitaciones amplias para ser Seul
complaint	Además muy caro.
comment	El desayuno me parecio bueno, quizás básico, sobre todo si te gusta el desayuno completo con huevos revueltos etc, pero a mi gusto estaba bien.
comment	El servicio y la atención impecables.
comment	Si puedo repito.
comment	El baño y la habitación eran amplias y equipadas con lo necesario para pasar una agradable estancia.
comment	Esta bien
complaint	A la cuarta noche decidí cambiar de hotel.
bug	Es una aplicación muy útil, pero falla muchas veces.
complaint	rendimiento algo malo
comment	Buena situación.
comment	Llevo 4 o 5 años y nunca me ha fallado, me encanta ocuparla
comment	Excelente la atención y la buena onda del staff.
comment	Excelente hotel.
comment	El servicio de frutas, jugos, tè y café las 24 hs.
comment	Todo excelente
request	La verdad me parece chevere y me encanta, pero me gustaria que juntaran bitmojie a snapchat osea una sola app😉
comment	La habitación estaba muy limpia y bien insonorizada.
comment	La recomiendo para todos
comment	todo fue perfecto, la habitacion estaba fantasticamente insonorizada y no habia ruido de ninguna clase,
comment	La ubicación es buena , cerca de Pub, sitios turísticos, restaurantes, esta en medio de un barrio de buenos aires e interactúas con el diario vivir de los Bonarenses
